    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.299,  3.293,  2.347,  2.626,  2.367,  2.274,  1.474,  1.817,  2.154,  2.257
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.294,  2.039,  3.294,  2.666,  2.414,  2.315,  1.478,  1.844,  2.199,  2.303
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.298,  2.046,  3.294,  2.654,  2.396,  2.295,  1.473,  1.831,  2.170,  2.278
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.294,  2.084,  3.298,  2.637,  2.371,  2.275,  1.502,  1.843,  2.147,  2.250
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.294,  2.076,  3.297,  2.622,  2.351,  2.242,  1.487,  1.831,  2.120,  2.220
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.297,  2.002,  2.401,  3.297,  2.701,  2.473,  1.527,  1.918,  2.362,  2.387
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.299,  1.989,  2.353,  2.343,  3.299,  2.672,  1.573,  1.910,  2.325,  2.341
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.293,  1.986,  2.347,  2.317,  2.334,  3.299,  1.767,  1.851,  2.313,  2.344
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.299,  1.991,  2.353,  2.320,  2.314,  2.328,  3.298,  2.213,  2.440,  2.394
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.296,  1.992,  2.345,  2.314,  2.303,  2.299,  1.428,  3.298,  2.714,  2.489
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.298,  2.004,  2.369,  2.336,  2.321,  2.311,  1.451,  1.880,  3.299,  2.702
    V0,     V1,     V2,     V3,     V4,     V5,     V6,     V7,     V8,     V9
 3.299,  2.015,  2.372,  2.335,  2.329,  2.317,  1.465,  1.885,  2.363,  3.298
